Iteraciones				Ver. (Seg) 80	Ver. (Seg) 200	Ver. (Seg) 400
Iteracion 1	105569490,4	90205130,74	54394077,64	0,10556949	0,090205131	0,054394078
Iteracion 2	129340797,6	66617895,05	42098588,59	0,129340798	0,066617895	0,042098589
Iteracion 3	89869110,36	50837028,59	83677750,92	0,08986911	0,050837029	0,083677751
Iteracion 4	122161524,1	46903053,57	50093636,31	0,122161524	0,046903054	0,050093636
Iteracion 5	122379054,9	59332884,19	45939501,2	0,122379055	0,059332884	0,045939501
Iteracion 6	76664299,39	47069585,96	43671584,52	0,076664299	0,047069586	0,043671585
Iteracion 7	128813510,9	47204500,19	49929250,69	0,128813511	0,0472045	0,049929251
Iteracion 8	86743119,71	48142770,42	40929944,9	0,08674312	0,04814277	0,040929945
Iteracion 9	98296063,23	49910538,66	38414968,92	0,098296063	0,049910539	0,038414969
Iteracion 10	72423262,9	48839643,21	66942758,14	0,072423263	0,048839643	0,066942758
						
						
						
						
						
						
						
						
						
						
						
Iteraciones	CPU -80	CPU -200	CPU -400			
Promedio 1	78,7125	67,2335	76,053			
Promedio 2	63,26875	73,007	70,2095			
Promedio 3	79,32	76,8105	57,92275			
Promedio 4	73,80875	75,254	76,119			
Promedio 5	73,18375	63,531	86,18975			
Promedio 6	78	82,1955	82,276			
Promedio 7	74,9125	82,1695	77,9945			
Promedio 8	71,755	74,839	70,2155			
Promedio 9	76,345	71,18	77,3965			
Promedio 10	78,275	74,904	81,127			
